,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/organ/prefug8.mid,0.137,0.0,0.143,0.077,0.018,0.192,0.013,0.122,0.006,0.107,0.179,0.004
assignment3/data/midi/bach/organ/schub5.mid,0.119,0.0,0.148,0.105,0.012,0.162,0.01,0.099,0.041,0.088,0.216,0.0
assignment3/data/midi/bach/organ/schub6.mid,0.133,0.015,0.145,0.006,0.085,0.005,0.12,0.19,0.008,0.13,0.002,0.162
assignment3/data/midi/bach/organ/toccata1.mid,0.067,0.075,0.183,0.016,0.121,0.094,0.018,0.132,0.014,0.169,0.091,0.02
assignment3/data/midi/bach/organ/toccata2.mid,0.254,0.01,0.143,0.003,0.017,0.015,0.003,0.038,0.001,0.464,0.05,0.003
assignment3/data/midi/bach/organ/trio3a.mid,0.097,0.032,0.169,0.028,0.113,0.117,0.021,0.116,0.02,0.157,0.074,0.056
assignment3/data/midi/bach/organ/trio3b.mid,0.127,0.034,0.125,0.04,0.104,0.157,0.014,0.128,0.021,0.116,0.089,0.045
assignment3/data/midi/bach/organ/trio3c.mid,0.09,0.035,0.135,0.012,0.13,0.113,0.028,0.123,0.023,0.166,0.08,0.066
assignment3/data/midi/bach/organcho/bsgjg_a.mid,0.143,0.002,0.179,0.067,0.015,0.113,0.027,0.19,0.01,0.079,0.144,0.03
assignment3/data/midi/bach/organcho/bsgjg_b.mid,0.162,0.001,0.184,0.108,0.006,0.088,0.038,0.157,0.011,0.098,0.14,0.008
assignment3/data/midi/bach/organcho/bsgjg_c.mid,0.153,0.004,0.16,0.072,0.022,0.081,0.043,0.181,0.024,0.104,0.113,0.044
assignment3/data/midi/bach/organcho/bsgjg_d.mid,0.126,0.0,0.152,0.089,0.013,0.089,0.035,0.214,0.006,0.123,0.134,0.019
assignment3/data/midi/bach/organcho/bsgjg_e.mid,0.143,0.006,0.158,0.081,0.028,0.102,0.029,0.182,0.02,0.093,0.133,0.024
